INFO - Client connesso: ('127.0.0.1', 62691)
INFO - Richiesta ricevuta dal Client ('127.0.0.1', 62691):sottrazione
INFO - Inoltro richiesta del Client ('127.0.0.1', 62691) al server 127.0.0.1:5007
INFO - Richiesta ricevuta dal Client ('127.0.0.1', 62691):divisione
INFO - Inoltro richiesta del Client ('127.0.0.1', 62691) al server 127.0.0.1:5007
INFO - Richiesta ricevuta dal Client ('127.0.0.1', 62691):somma
INFO - Inoltro richiesta del Client ('127.0.0.1', 62691) al server 127.0.0.1:5007
INFO - Richiesta ricevuta dal Client ('127.0.0.1', 62691):sottrazione
INFO - Inoltro richiesta del Client ('127.0.0.1', 62691) al server 127.0.0.1:5007
INFO - Richiesta ricevuta dal Client ('127.0.0.1', 62691):divisione
INFO - Inoltro richiesta del Client ('127.0.0.1', 62691) al server 127.0.0.1:5007
INFO - Richiesta ricevuta dal Client ('127.0.0.1', 62691):divisione
INFO - Inoltro richiesta del Client ('127.0.0.1', 62691) al server 127.0.0.1:5007
